pin,property_a,house,street_dir,street_nam,street_typ,apartment,prop_city,prop_zip,land_value,improvemen,total_valu,class,school_dis,numbldgs,bldg_numb,bldg_sf,bldg_story,bldg_yrblt,bldg_desc,quality,condition,acres,sq_feet,centroid_latitude,centroid_longitude,source_county
0502000000,6153 BANCROFT ST,6153, ,BANCROFT,ST, ,OMAHA,68106,14400.0,248000.0,262400.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1550.0,1.0,1959.0,Ranch,Average,Average,0.14,6405.0,41.234018758543804,-96.00735315953256,douglas
0504920000,2130 MONROE ST,2130, ,MONROE,ST, ,OMAHA,68107,10400.0,114100.0,124500.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,896.0,1.0,1952.0,Ranch,Average,Fair,0.14,6400.0,41.19396138148192,-95.94474184505665,douglas
0508170000,1609 WASHINGTON ST,1609, ,WASHINGTON,ST, ,OMAHA,68107,12600.0,134700.0,147300.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,720.0,1.0,1955.0,Ranch,Average,Average,0.14,6500.0,41.19630310006983,-95.93764419879643,douglas
0512300002,5329 N 47 ST,5329,N,47,ST, ,OMAHA,68104,8400.0,131600.0,140000.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,980.0,1.0,1957.0,Raised Ranch,Average,Fair,0.12,5400.0,41.30809682969317,-95.98366931931608,douglas
0523380075,7220 F ST,7220, ,F,ST, ,OMAHA,68127,0.0,0.0,0.0,E,WESTSIDE COMM. SCHOOL DISTRICT,1.0,1,28832.0,1.0,1967.0,School - Classroom,Average,Good,3.36983048,146789.81553764,41.22063231222038,-96.02488297990155,douglas
0525130000,2508 EMMET ST,2508, ,EMMET,ST, ,OMAHA,68111,7300.0,130800.0,138100.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1282.0,1.5,1922.0,1 1/2 Story Fin,Average,Average,0.09,4200.0,41.29014442188562,-95.94909696665763,douglas
0526080826,3710 PADDOCK RD,3710, ,PADDOCK,RD, ,OMAHA,68124,49700.0,426500.0,476200.0,R,WESTSIDE COMM. SCHOOL DISTRICT,1.0,1,2372.0,2.0,1978.0,2 Story,Good,Average,0.28,12300.0,41.224331546726795,-96.05790426989428,douglas
0526081074,3636 CORNHUSKER DR,3636, ,CORNHUSKER,DR, ,OMAHA,68124,19800.0,163000.0,182800.0,R,WESTSIDE COMM. SCHOOL DISTRICT,1.0,1,912.0,1.0,1963.0,Raised Ranch,Average,Average,0.19,8400.0,41.225317818529,-96.05381549438879,douglas
0534960223,5010 N 49 ST,5010,N,49,ST, ,OMAHA,68104,14000.0,160900.0,174900.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1074.0,1.0,1961.0,Raised Ranch,Average,Average,0.17,7564.0,41.30444162584914,-95.98811840822154,douglas
0605280000,3167 CURTIS AV,3167, ,CURTIS,AV, ,OMAHA,68111,12500.0,125300.0,137800.0,R,OMAHA PUBLIC SCHOOL DISTRICT,1.0,1,1132.0,1.5,1915.0,1 1/2 Story Fin,Average,Average,0.23,10164.0,41.31546802579172,-95.96028299228797,douglas
