licensed_company_name,source_county,job_count,median_job_value,median_forest_point_estimate,median_comp_median,median_recommended_band_low,median_recommended_band_high,first_seen,last_seen
SMART ROOF CONTRACTING LLC,douglas,1,20600.0,18386.29814148841,15876.0,6926.65,26924.999999999996,2026-03-17,2026-03-17
18216 LAFAYETTE AVE,douglas,1,20000.0,17888.384335878698,14376.0,8100.0,25229.6105,2025-11-18,2025-11-18
PROPERTY FLIPS LLC,douglas,1,20000.0,13200.410161298138,8807.21,1050.0,16874.6,2025-12-02,2025-12-02
1714 S 29th Street,douglas,1,19000.0,20654.6939246245,19126.0,12333.9535,34585.1285,2025-11-19,2025-11-19
EMERSON ENTERPRISES UNLIMITED,douglas,1,18586.0,16825.894598665494,8156.030000000001,4307.055,26534.399999999987,2026-03-16,2026-03-16
NEWTON ROOFING,douglas,1,18000.0,15111.400223287605,17455.3,6375.0,23903.3,2026-03-26,2026-03-26
WILHELM CONSTRUCTION,douglas,1,18000.0,16561.527112485048,13172.119999999999,7875.0,24803.299999999996,2026-04-10,2026-04-10
HOME ONE ROOFING,douglas,1,17652.47,14351.794940744127,13727.810000000001,4550.0,21426.449999999997,2026-01-16,2026-01-16
JR ROOFING LLC,douglas,1,17453.22,14249.051143420362,14670.24,7833.929,30530.749999999996,2025-11-17,2025-11-17
MIGHTY DOG ROOFING,douglas,1,16800.0,11623.350894724781,6737.0,4607.0745,12546.8,2025-11-06,2025-11-06
KORTH ROOFING LLC,douglas,1,16000.0,16215.559649348514,17615.0,11056.99,28574.999999999996,2026-02-06,2026-02-06
"TRUE PRO EXTERIORS, INC",douglas,1,16000.0,17569.244219099222,13500.0,8208.4635,23846.0,2026-03-23,2026-03-23
COMPLETE PROJECT CONTRACTORS,douglas,1,15000.0,9851.032087896607,9295.0,3234.05,12899.999999999998,2025-11-14,2025-11-14
VI.A CONSTRUCTION LLC,douglas,1,14904.01,11927.394304712192,12088.0,6303.163500000001,19179.2925,2026-02-13,2026-02-13
KO ROOFING & STORM REPAIR,douglas,1,14848.29,10763.875510298902,7865.0,4011.12,26956.99999999999,2026-03-26,2026-03-26
Property Flips LLC,douglas,1,14800.0,12843.150322671741,13505.65,5232.0,21456.413999999997,2026-03-17,2026-03-17
"NATHAN JAMES CONSTRUCTION, INC.",douglas,1,14500.0,12277.484294616452,11588.0,6303.163500000001,20260.5075,2026-02-09,2026-02-09
CAPITAL ROOFING AND EXTERIORS,douglas,1,14000.0,9029.964179515913,10350.0,4727.5665,21279.605499999998,2026-02-09,2026-02-09
BB ROOFING,douglas,1,13940.0,11845.201027951607,9206.630000000001,5038.35,19867.59249999999,2026-03-23,2026-03-23
